raw_x_east,raw_y_north,x_east,y_north
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4475,1509584.402,661487.4637,1509584.402
661487.4475,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4475,1509584.402,661487.4601,1509584.402
661487.4655,1509584.402,661487.4601,1509584.402
661487.4655,1509584.402,661487.4601,1509584.402
661487.4655,1509584.402,661487.4619,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4637,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4655,1509584.402,661487.4655,1509584.402
661487.4654,1509584.42,661487.4655,1509584.404
661487.4474,1509584.42,661487.4637,1509584.406
661487.4473,1509584.439,661487.4619,1509584.409
661487.4651,1509584.476,661487.4618,1509584.417
661487.4647,1509584.531,661487.4617,1509584.43
661487.4644,1509584.586,661487.4616,1509584.448
661487.4821,1509584.642,661487.4633,1509584.472
661487.4816,1509584.715,661487.4649,1509584.503
661487.4992,1509584.789,661487.4683,1509584.542
661487.4986,1509584.882,661487.4716,1509584.59
661487.4981,1509584.974,661487.4748,1509584.645
661487.4974,1509585.084,661487.4798,1509584.712
661487.4967,1509585.195,661487.4848,1509584.787
661487.514,1509585.306,661487.4897,1509584.87
661487.5134,1509585.416,661487.4945,1509584.959
661487.5126,1509585.545,661487.4994,1509585.055
661487.5297,1509585.693,661487.5041,1509585.16
661487.5289,1509585.822,661487.5088,1509585.271
661487.51,1509585.969,661487.5099,1509585.389
661487.5091,1509586.117,661487.511,1509585.512
661487.5081,1509586.264,661487.512,1509585.641
661487.5071,1509586.43,661487.513,1509585.776
661487.4882,1509586.578,661487.5121,1509585.914
661487.4872,1509586.744,661487.5094,1509586.058
661487.4681,1509586.91,661487.5049,1509586.207
661487.4672,1509587.057,661487.5004,1509586.358
661487.4661,1509587.241,661487.494,1509586.513
661487.4651,1509587.407,661487.4876,1509586.672
661487.464,1509587.573,661487.483,1509586.832
661487.4449,1509587.758,661487.4766,1509586.996
661487.4437,1509587.942,661487.4702,1509587.164
661487.4426,1509588.126,661487.4637,1509587.334
661487.4414,1509588.329,661487.459,1509587.509
661487.4401,1509588.532,661487.4543,1509587.688
661487.4387,1509588.753,661487.4514,1509587.872
661487.4373,1509588.993,661487.4484,1509588.066
661487.4358,1509589.233,661487.4454,1509588.265
661487.4522,1509589.491,661487.4441,1509588.473
661487.4325,1509589.767,661487.4409,1509588.692
661487.4309,1509590.025,661487.4395,1509588.919
661487.4291,1509590.32,661487.4381,1509589.157
661487.4273,1509590.615,661487.4365,1509589.406
661487.4255,1509590.91,661487.4349,1509589.664
661487.4237,1509591.205,661487.4333,1509589.931
661487.4398,1509591.519,661487.4334,1509590.208
661487.4378,1509591.832,661487.4335,1509590.492
661487.4358,1509592.164,661487.4335,1509590.785
661487.4339,1509592.478,661487.4316,1509591.084
661487.4137,1509592.828,661487.4297,1509591.39
661487.4116,1509593.16,661487.4278,1509591.703
661487.4275,1509593.51,661487.4277,1509592.022
661487.4254,1509593.861,661487.4275,1509592.347
661487.4233,1509594.192,661487.4272,1509592.675
661487.4212,1509594.543,661487.427,1509593.009
661487.401,1509594.893,661487.4231,1509593.346
661487.3988,1509595.243,661487.4192,1509593.687
661487.3967,1509595.594,661487.4153,1509594.03
661487.3944,1509595.962,661487.4114,1509594.379
661487.374,1509596.349,661487.4074,1509594.731
661487.3717,1509596.718,661487.4034,1509595.087
661487.3692,1509597.124,661487.3976,1509595.448
661487.3488,1509597.511,661487.3899,1509595.813
661487.3283,1509597.916,661487.3804,1509596.185
661487.3437,1509598.341,661487.3727,1509596.565
661487.3231,1509598.764,661487.3649,1509596.952
661487.3024,1509599.188,661487.3552,1509597.347
661487.2818,1509599.612,661487.3437,1509597.749
661487.2792,1509600.036,661487.3322,1509598.156
661487.2946,1509600.461,661487.3243,1509598.567
661487.2741,1509600.866,661487.3145,1509598.982
661487.2895,1509601.29,661487.3065,1509599.399
661487.287,1509601.696,661487.3004,1509599.817
661487.2845,1509602.102,661487.296,1509600.236
661487.2641,1509602.489,661487.288,1509600.651
661487.2797,1509602.876,661487.2837,1509601.062
661487.2954,1509603.263,661487.283,1509601.469
661487.311,1509603.651,661487.2859,1509601.873
661487.3085,1509604.056,661487.2889,1509602.275
661487.3241,1509604.462,661487.2918,1509602.675
661487.3217,1509604.849,661487.2966,1509603.073
661487.3372,1509605.255,661487.3013,1509603.47
661487.3527,1509605.679,661487.3079,1509603.868
661487.3501,1509606.103,661487.3145,1509604.268
661487.3655,1509606.527,661487.3246,1509604.672
661487.3808,1509606.97,661487.3347,1509605.082
661487.3782,1509607.394,661487.343,1509605.495
661487.3755,1509607.836,661487.3494,1509605.913
661487.3726,1509608.297,661487.3558,1509606.337
661487.3519,1509608.74,661487.3586,1509606.765
661487.349,1509609.201,661487.3613,1509607.2
661487.364,1509609.699,661487.364,1509607.645
661487.3792,1509610.16,661487.3667,1509608.093
661487.3761,1509610.658,661487.3693,1509608.548
661487.3732,1509611.137,661487.37,1509609.009
661487.3522,1509611.616,661487.3672,1509609.474
661487.3493,1509612.096,661487.3643,1509609.944
661487.3463,1509612.575,661487.3614,1509610.418
661487.3434,1509613.054,661487.3585,1509610.893
661487.3405,1509613.515,661487.3573,1509611.371
661487.3377,1509613.976,661487.3562,1509611.848
661487.3168,1509614.437,661487.3515,1509612.322
661487.296,1509614.898,661487.3431,1509612.796
